"#";"Quantity";"RefDes";"Farnell";"Name";"Manufacturer";"Package";"Manufacturer name"
"1";"3";"C1, C2, C3";"2494233";"CAP_0603_10uF_10V";"Murata";"";"GRM188R61A106ME69D"
"2";"2";"C4, C9";"3013398";"CAP_0603_4.7uF_10V";"Samsung";"";"CL10A475KP8NNNC"
"3";"6";"C5, C6, C10, C11, C12, C101";"2496771";"CAP_0402_100nF_16V";"Walsin";"";""
"4";"1";"C7";"2627371";"CAP_0402_68nF_16V";"Multicomp";"";"MC0402B683K160CT"
"5";"1";"C8";"2333010

";"CAP_1206_10uF_16V_TANT";"AVX";"";"TAJA106M016R"
"6";"1";"C13";"2611940";"CAP_0805_10uF_16V";"Murata";"";"GRM21BR61C106KE15K"
"7";"1";"C14";"2611878";"CAP_0402_100nF_50V";"Murata";"";"GRM155R61H104KE14D"
"8";"1";"C102";"1758890";"CAP_0402_22nF_16V";"Multicomp";"";""
"9";"2";"C103, C104";"2346885";"CAP_0402_1uF_35V";"TDK";"";""
"10";"1";"D1";"2675148";"1N4148 SOD323 small signal diode";"Multicomp";"SOD323";""
"11";"16";"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116";"2470221";"HIGH CRI Warm white ";"Wurth";"";"158301230"
"12";"1";"J1";"1462888";"Pin header 2P";"Multicomp";"";"SPC20484"
"13";"1";"J2";"";"Weidmuller SL 3.5/2/90G ORANGE 2P";"Weidmuller";"";""
"14";"1";"J3";"2293836";"USB-A Micro Molex horizontal";"MOLEX";"";""
"15";"4";"J4, J5, J10, J12";"2293786";"Ground clip";"Harwin";"";"S1751-46R"
"16";"1";"J6";"1462888";"Pin header 4P";"Multicomp";"";"SPC20484"
"17";"2";"J7, J8";"";"Test point SMD";"";"";""
"18";"1";"J9";"";"Capacitive touch 7mm";"";"";""
"19";"1";"J11";"";"PIC-ICSP-THT Annotated Inverted 8p";"";"";""
"20";"1";"J101";"";"Solder jumper 2p";"";"";""
"21";"1";"L1";"3288244";"VLS5045EX-100M-H";"TDK";"";""
"22";"1";"LED1";"2314404";"1.6x0.6 LED red Lateral";"Kingbright";"";"KPA-1606SRC-J4"
"23";"1";"LED2";"2373512";"1.6x0.6 LED green Lateral";"Kingbright";"";"KPA-1606ZGCK"
"24";"1";"LED3";"2290359";"1.6x0.6 LED orange Lateral";"Kingbright";"";"KPA-1606SECK"
"25";"1";"Q1";"3127325";"10R 12V NMos";"Diodes Inc";"";"DMN1019USN-7"
"26";"2";"R1, R4";"2302417";"RES_0402_10";"Panasonic";"";""
"27";"13";"R2, R3, R8, R9, R10, R12, R13, R14, R15, R16, R17, R18, R101";"2447187";"RES_0402_4k7_1%";"Multicomp";"";"MCWR04X4701FTL"
"28";"2";"R5, R6";"2447133";"RES_0402_20k_1%";"Multicomp";"";"MCWR04X2002FTL"
"29";"1";"R7";"2670546";"RES_0402_66k5_1%";"Walsin";"";"WR04X6652FTL"
"30";"1";"R11";"2447096";"RES_0402_10k";"Multicomp";"";""
"31";"1";"R19";"2561690";"RES_0402_100k_1% 2";"Panasonic";"";"ERJPA2F1003X"
"32";"1";"R102";"2447120";"RES_0402_1k_1%";"Multicomp";"";"MCWR04X1001FTL"
"33";"2";"S1, S3";"2079484";"EVQPLMA15 momentary switch";"Panasonic";"";"EVQPLMA15 "
"34";"1";"S2";"2065075";"Rotary Enc (quad) EC12D1564402";"Alps Alpine";"";""
"35";"4";"TP1, U4, U5, U6";"";"Test point SMALL No marking";"";"";""
"36";"1";"U1";"3008232";"TPS62203DBVR High efficiency step down";"Texas Instruments";"";"TPS62203DBVR"
"37";"1";"U2";"2516725";"MAX1555 LiPo Charger USB input";"Maxim";"";""
"38";"1";"U3";"2432757";"PIC24FJxxxGB204 TQFN";"Microchip";"";""
"39";"1";"U101";"2492339";"TLC59116IRHBR 16ch PWM LED driver";"Texas Instruments";"QFN";"TLC59116"
